"";"satz";"inhalt";"satzlaenge"
"1";1;"Als Gregor Samsa eines Morgens aus unruhigen Träumen erwachte, fand er sich in seinem Bett zu einem ungeheueren Ungeziefer verwandelt.";20
"2";2;"Er lag auf seinem panzerartig harten Rücken und sah, wenn er den Kopf ein wenig hob, seinen gewölbten, braunen, von bogenförmigen Versteifungen geteilten Bauch, auf dessen Höhe sich die Bettdecke, zum gänzlichen Niedergleiten bereit, kaum noch erhalten konnte.";38
"3";3;"Seine vielen, im Vergleich zu seinem sonstigen Umfang kläglich dünnen Beine flimmerten ihm hilflos vor den Augen.";17
"4";4;"»Was ist mit mir geschehen?«, dachte er.";7
"5";5;"Es war kein Traum.";4
"6";6;"Sein Zimmer, ein richtiges, nur etwas zu kleines Menschenzimmer, lag ruhig zwischen den vier wohlbekannten Wänden.";16
"7";7;"Über dem Tisch, auf dem eine auseinandergepackte Musterkollektion von Tuchwaren ausgebreitet war – Samsa war Reisender – hing das Bild, das er vor kurzem aus einer illustrierten Zeitschrift ausgeschnitten und in einem hübschen, vergoldeten Rahmen untergebracht hatte.";35
"8";8;"Es stellte eine Dame dar, die mit einem Pelzhut und einer Pelzboa versehen, aufrecht dasaß und einen schweren Pelzmuff, in dem ihr ganzer Unterarm verschwunden war, dem Beschauer entgegenhob.";29
"9";9;"Gregors Blick richtete sich dann zum Fenster, und das trübe Wetter – man hörte Regentropfen auf das Fensterblech aufschlagen – machte ihn ganz melancholisch.";22
"10";10;"»Wie wäre es, wenn ich noch ein wenig weiterschliefe und alle Narrheiten vergäße«, dachte er, aber das war gänzlich undurchführbar, denn er war gewöhnt, auf der rechten Seite zu schlafen, konnte sich aber in seinem gegenwärtigen Zustand nicht in diese Lage bringen.";42
"11";11;"Mit welcher Kraft er sich auch auf die rechte Seite warf, immer wieder schaukelte er in die Rückenlage zurück.";19
"12";12;"Er versuchte es wohl hundertmal, schloß die Augen, um die zappelnden Beine nicht sehen zu müssen, und ließ erst ab, als er in der Seite einen noch nie gefühlten, leichten, dumpfen Schmerz zu fühlen begann.";35
"13";13;"»Ach Gott«, dachte er, »was für einen anstrengenden Beruf habe ich gewählt!";12
"14";14;"Tag aus, Tag ein auf der Reise.";7
"15";15;"Die geschäftlichen Aufregungen sind viel größer, als im eigentlichen Geschäft zu Hause, und außerdem ist mir noch diese Plage des Reisens auferlegt, die Sorgen um die Zuganschlüsse, das unregelmäßige, schlechte Essen, ein immer wechselnder, nie andauernder, nie herzlich werdender menschlicher Verkehr.";41
"16";16;"Der Teufel soll das alles holen!«";6
"17";17;"Er fühlte ein leichtes Jucken oben auf dem Bauch; schob sich auf dem Rücken langsam näher zum Bettpfosten, um den Kopf besser heben zu können; fand die juckende Stelle, die mit lauter kleinen weißen Pünktchen besetzt war, die er nicht zu beurteilen verstand; und wollte mit einem Bein die Stelle betasten, zog es aber gleich zurück, denn bei der Berührung umwehten ihn Kälteschauer.";63
"18";18;"Er glitt wieder in seine frühere Lage zurück.";8
"19";19;"»Dies frühzeitige Aufstehen«, dachte er, »macht einen ganz blödsinnig.";9
"20";20;"Der Mensch muß seinen Schlaf haben.";6
"21";21;"Andere Reisende leben wie Haremsfrauen.";5
"22";22;"Wenn ich zum Beispiel im Laufe des Vormittags ins Gasthaus zurückgehe, um die erlangten Aufträge zu überschreiben, sitzen diese Herren erst beim Frühstück.";23
"23";23;"Das sollte ich bei meinem Chef versuchen; ich würde auf der Stelle hinausfliegen.";13
"24";24;"Wer weiß übrigens, ob das nicht sehr gut für mich wäre.";11
"25";25;"Wenn ich mich nicht wegen meiner Eltern zurückhielte, ich hätte längst gekündigt, ich wäre vor den Chef hin getreten und hätte ihm meine Meinung von Grund des Herzens aus gesagt.";30
"26";26;"Vom Pult hätte er fallen müssen!";6
"27";27;"Es ist auch eine sonderbare Art, sich auf das Pult zu setzen und von der Höhe herab mit dem Angestellten zu reden, der überdies wegen der Schwerhörigkeit des Chefs ganz nahe herantreten muß.";33
"28";28;"Nun, die Hoffnung ist noch nicht gänzlich aufgegeben; habe ich einmal das Geld beisammen, um die Schuld der Eltern an ihn abzuzahlen – es dürfte noch fünf bis sechs Jahre dauern – , mache ich die Sache unbedingt.";35
"29";29;"Dann wird der große Schnitt gemacht.";6
"30";30;"Vorläufig allerdings muß ich aufstehen, denn mein Zug fährt um fünf.«";11
"31";31;"Und er sah zur Weckuhr hinüber, die auf dem Kasten tickte.";11
"32";32;"»Himmlischer Vater!«, dachte er.";4
"33";33;"Es war halb sieben Uhr, und die Zeiger gingen ruhig vorwärts, es war sogar halb vorüber, es näherte sich schon dreiviertel.";21
"34";34;"Sollte der Wecker nicht geläutet haben?";6
"35";35;"Man sah vom Bett aus, daß er auf vier Uhr richtig eingestellt war; gewiß hatte er auch geläutet.";18
"36";36;"Ja, aber war es möglich, dieses möbelerschütternde Läuten ruhig zu verschlafen?";11
"37";37;"Nun, ruhig hatte er ja nicht geschlafen, aber wahrscheinlich desto fester.";11
"38";38;"Was aber sollte er jetzt tun?";6
"39";39;"Der nächste Zug ging um sieben Uhr; um den einzuholen, hätte er sich unsinnig beeilen müssen, und die Kollektion war noch nicht eingepackt, und er selbst fühlte sich durchaus nicht besonders frisch und beweglich.";34
"40";40;"Und selbst wenn er den Zug einholte, ein Donnerwetter des Chefs war nicht zu vermeiden, denn der Geschäftsdiener hatte beim Fünfuhrzug gewartet und die Meldung von seiner Versäumnis längst erstattet.";30
"41";41;"Es war eine Kreatur des Chefs, ohne Rückgrat und Verstand.";10
"42";42;"Wie nun, wenn er sich krank meldete?";7
"43";43;"Das wäre aber äußerst peinlich und verdächtig, denn Gregor war während seines fünfjährigen Dienstes noch nicht einmal krank gewesen.";19
"44";44;"Gewiß würde der Chef mit dem Krankenkassenarzt kommen, würde den Eltern wegen des faulen Sohnes Vorwürfe machen und alle Einwände durch den Hinweis auf den Krankenkassenarzt abschneiden, für den es ja überhaupt nur ganz gesunde, aber arbeitsscheue Menschen gibt.";39
"45";45;"Und hätte er übrigens in diesem Falle so ganz unrecht?";10
"46";46;"Gregor fühlte sich tatsächlich, abgesehen von einer nach dem langen Schlaf wirklich überflüssigen Schläfrigkeit, ganz wohl und hatte sogar einen besonders kräftigen Hunger.";23
"47";47;"Als er dies alles in größter Eile überlegte, ohne sich entschließen zu können, das Bett zu verlassen – gerade schlug der Wecker dreiviertel sieben – klopfte es vorsichtig an die Tür am Kopfende seines Bettes.";33
"48";48;"»Gregor«, rief es – es war die Mutter – , »es ist dreiviertel sieben.";11
"49";49;"Wolltest du nicht wegfahren?«";4
"50";50;"Die sanfte Stimme!";3
"51";51;"Gregor erschrak, als er seine antwortende Stimme hörte, die wohl unverkennbar seine frühere war, in die sich aber, wie von unten her, ein nicht zu unterdrückendes, schmerzliches Piepsen mischte, das die Worte förmlich nur im ersten Augenblick in ihrer Deutlichkeit beließ, um sie im Nachklang derart zu zerstören, daß man nicht wußte, ob man recht gehört hatte.";57
"52";52;"Gregor hatte ausführlich antworten und alles erklären wollen, beschränkte sich aber bei diesen Umständen darauf, zu sagen: »Ja, ja, danke Mutter, ich stehe schon auf.«";25
"53";53;"Infolge der Holztür war die Veränderung in Gregors Stimme draußen wohl nicht zu merken, denn die Mutter beruhigte sich mit dieser Erklärung und schlürfte davon.";25
"54";54;"Aber durch das kleine Gespräch waren die anderen Familienmitglieder darauf aufmerksam geworden, daß Gregor wider Erwarten noch zu Hause war, und schon klopfte an der einen Seitentür der Vater, schwach, aber mit der Faust.";34
"55";55;"»Gregor, Gregor«, rief er, »was ist denn?«";7
"56";56;"Und nach einer kleinen Weile mahnte er nochmals mit tieferer Stimme: »Gregor!";12
"57";57;"Gregor!«";1
"58";58;"An der anderen Seitentür aber klagte leise die Schwester: »Gregor?";10
"59";59;"Ist dir nicht wohl?";4
"60";60;"Brauchst du etwas?«";3
"61";61;"Nach beiden Seiten hin antwortete Gregor: »Bin schon fertig«, und bemühte sich, durch die sorgfältigste Aussprache und durch Einschaltung von langen Pausen zwischen den einzelnen Worten seiner Stimme alles Auffallende zu nehmen.";32
"62";62;"Der Vater kehrte auch zu seinem Frühstück zurück, die Schwester aber flüsterte: »Gregor, mach auf, ich beschwöre dich.«";18
"63";63;"Gregor aber dachte gar nicht daran aufzumachen, sondern lobte die vom Reisen her übernommene Vorsicht, auch zu Hause alle Türen während der Nacht zu versperren.";25
"64";64;"Zunächst wollte er ruhig und ungestört aufstehen, sich anziehen und vor allem frühstücken, und dann erst das Weitere überlegen, denn, das merkte er wohl, im Bett würde er mit dem Nachdenken zu keinem vernünftigen Ende kommen.";36
"65";65;"Er erinnerte sich, schon öfters im Bett irgendeinen vielleicht durch ungeschicktes Liegen erzeugten, leichten Schmerz empfunden zu haben, der sich dann beim Aufstehen als reine Einbildung herausstellte, und er war gespannt, wie sich seine heutigen Vorstellungen allmählich auflösen würden.";39
"66";66;"Daß die Veränderung der Stimme nichts anderes war, als der Vorbote einer tüchtigen Verkühlung, einer Berufskrankheit der Reisenden, daran zweifelte er nicht im geringsten.";24
"67";67;"Die Decke abzuwerfen war ganz einfach; er brauchte sich nur ein wenig aufzublasen und sie fiel von selbst.";18
"68";68;"Aber weiterhin wurde es schwierig, besonders weil er so ungemein breit war.";12
"69";69;"Er hätte Arme und Hände gebraucht, um sich aufzurichten; statt dessen aber hatte er nur die vielen Beinchen, die ununterbrochen in der verschiedensten Bewegung waren und die er überdies nicht beherrschen konnte.";32
"70";70;"Wollte er eines einmal einknicken, so war es das erste, daß es sich streckte; und gelang es ihm endlich, mit diesem Bein das auszuführen, was er wollte, so arbeiteten inzwischen alle anderen, wie freigelassen, in höchster, schmerzlicher Aufregung.";38
"71";71;"»Nur sich nicht im Bett unnütz aufhalten«, sagte sich Gregor.";10
"72";72;"Zuerst wollte er mit dem unteren Teil seines Körpers aus dem Bett hinauskommen, aber dieser untere Teil, den er übrigens noch nicht gesehen hatte und von dem er sich auch keine rechte Vorstellung machen konnte, erwies sich als zu schwer beweglich; es ging so langsam; und als er schließlich, fast wild geworden, mit gesammelter Kraft, ohne Rücksicht sich vorwärtsstieß, hatte er die Richtung falsch gewählt, schlug an den unteren Bettpfosten heftig an, und der brennende Schmerz, den er empfand, belehrte ihn, daß gerade der untere Teil seines Körpers augenblicklich vielleicht der empfindlichste war.";93
"73";73;"Er versuchte es daher, zuerst den Oberkörper aus dem Bett zu bekommen, und drehte vorsichtig den Kopf dem Bettrand zu.";20
"74";74;"Dies gelang auch leicht, und trotz ihrer Breite und Schwere folgte schließlich die Körpermasse langsam der Wendung des Kopfes.";19
"75";75;"Aber als er den Kopf endlich außerhalb des Bettes in der freien Luft hielt, bekam er Angst, weiter auf diese Weise vorzurücken, denn wenn er sich schließlich so fallen ließ, mußte geradezu ein Wunder geschehen, wenn der Kopf nicht verletzt werden sollte.";42
"76";76;"Und die Besinnung durfte er gerade jetzt um keinen Preis verlieren; lieber wollte er im Bett bleiben.";17
"77";77;"Aber als er wieder nach gleicher Mühe aufseufzend so dalag wie früher, und wieder seine Beinchen womöglich noch ärger gegeneinander kämpfen sah und keine Möglichkeit fand, in diese Willkür Ruhe und Ordnung zu bringen, sagte er sich wieder, daß er unmöglich im Bett bleiben könne und daß es das Vernünftigste sei, alles zu opfern, wenn auch nur die kleinste Hoffnung bestünde, sich dadurch vom Bett zu befreien.";67
"78";78;"Gleichzeitig aber vergaß er nicht, sich zwischendurch daran zu erinnern, daß viel besser als verzweifelte Entschlüsse ruhige und ruhigste Überlegung sei.";21
"79";79;"In solchen Augenblicken richtete er die Augen möglichst scharf auf das Fenster, aber leider war aus dem Anblick des Morgennebels, der sogar die andere Seite der engen Straße verhüllte, wenig Zuversicht und Munterkeit zu holen.";35
"80";80;"»Schon sieben Uhr«, sagte er sich beim neuerlichen Schlagen des Weckers, »schon sieben Uhr und noch immer ein solcher Nebel.«";20
"81";81;"Und ein Weilchen lang lag er ruhig mit schwachem Atem, als erwarte er vielleicht von der völligen Stille die Wiederkehr der wirklichen und selbstverständlichen Verhältnisse.";25
"82";82;"Dann aber sagte er sich: »Ehe es einviertel acht schlägt, muß ich unbedingt das Bett vollständig verlassen haben.";18
"83";83;"Im übrigen wird auch bis dahin jemand aus dem Geschäft kommen, um nach mir zu fragen, denn das Geschäft wird vor sieben Uhr geöffnet.«";24
"84";84;"Und er machte sich nun daran, den Körper in seiner ganzen Länge vollständig gleichmäßig aus dem Bett hinauszuschaukeln.";18
"85";85;"Wenn er sich auf diese Weise aus dem Bett fallen ließ, blieb der Kopf, den er beim Fall scharf heben wollte, voraussichtlich unverletzt.";23
"86";86;"Der Rücken schien hart zu sein; dem würde wohl bei dem Fall auf den Teppich nichts geschehen.";17
"87";87;"Das größte Bedenken machte ihm die Rücksicht auf den lauten Krach, den es geben müßte und der wahrscheinlich hinter allen Türen wenn nicht Schrecken, so doch Besorgnisse erregen würde.";29
"88";88;"Das mußte aber gewagt werden.";5
"89";89;"Als Gregor schon zur Hälfte aus dem Bette ragte – die neue Methode war mehr ein Spiel als eine Anstrengung, er brauchte immer nur ruckweise zu schaukeln – , fiel ihm ein, wie einfach alles wäre, wenn man ihm zu Hilfe käme.";39
"90";90;"Zwei starke Leute – er dachte an seinen Vater und das Dienstmädchen – hätten vollständig genügt; sie hätten ihre Arme nur unter seinen gewölbten Rücken schieben, ihn so aus dem Bett schälen, sich mit der Last niederbeugen und dann bloß vorsichtig dulden müssen, daß er den Überschwung auf dem Fußboden vollzog, wo dann die Beinchen hoffentlich einen Sinn bekommen würden.";58
"91";91;"Nun, ganz abgesehen davon, daß die Türen versperrt waren, hätte er wirklich um Hilfe rufen sollen?";16
"92";92;"Trotz aller Not konnte er bei diesem Gedanken ein Lächeln nicht unterdrücken.";12
"93";93;"Schon war er so weit, daß er bei stärkerem Schaukeln kaum das Gleichgewicht noch erhielt, und sehr bald mußte er sich nun endgültig entscheiden, denn es war in fünf Minuten einviertel acht, – als es an der Wohnungstür läutete.";38
"94";94;"»Das ist jemand aus dem Geschäft«, sagte er sich und erstarrte fast, während seine Beinchen nur desto eiliger tanzten.";19
"95";95;"Einen Augenblick blieb alles still.";5
"96";96;"»Sie öffnen nicht«, sagte sich Gregor, befangen in irgendeiner unsinnigen Hoffnung.";11
"97";97;"Aber dann ging natürlich wie immer das Dienstmädchen festen Schrittes zur Tür und öffnete.";14
"98";98;"Gregor brauchte nur das erste Grußwort des Besuchers zu hören und wußte schon, wer es war – der Prokurist selbst.";19
"99";99;"Warum war nur Gregor dazu verurteilt, bei einer Firma zu dienen, wo man bei der kleinsten Versäumnis gleich den größten Verdacht faßte?";22
"100";100;"Waren denn alle Angestellten samt und sonders Lumpen, gab es denn unter ihnen keinen treuen ergebenen Menschen, der, wenn er auch nur ein paar Morgenstunden für das Geschäft nicht ausgenutzt hatte, vor Gewissensbissen närrisch wurde und geradezu nicht imstande war, das Bett zu verlassen?";44
"101";101;"Genügte es wirklich nicht, einen Lehrjungen nachfragen zu lassen – wenn überhaupt diese Fragerei nötig war – , mußte da der Prokurist selbst kommen, und mußte dadurch der ganzen unschuldigen Familie gezeigt werden, daß die Untersuchung dieser verdächtigen Angelegenheit nur dem Verstand des Prokuristen anvertraut werden konnte?";44
"102";102;"Und mehr infolge der Erregung, in welche Gregor durch diese Überlegungen versetzt wurde, als infolge eines richtigen Entschlusses, schwang er sich mit aller Macht aus dem Bett.";27
"103";103;"Es gab einen lauten Schlag, aber ein eigentlicher Krach war es nicht.";12
"104";104;"Ein wenig wurde der Fall durch den Teppich abgeschwächt, auch war der Rücken elastischer, als Gregor gedacht hatte, daher kam der nicht gar so auffallende dumpfe Klang.";27
"105";105;"Nur den Kopf hatte er nicht vorsichtig genug gehalten und ihn angeschlagen; er drehte ihn und rieb ihn an dem Teppich vor Ärger und Schmerz.";25
"106";106;"»Da drin ist etwas gefallen«, sagte der Prokurist im Nebenzimmer links.";11
"107";107;"Gregor suchte sich vorzustellen, ob nicht auch einmal dem Prokuristen etwas Ähnliches passieren könnte, wie heute ihm; die Möglichkeit dessen mußte man doch eigentlich zugeben.";25
"108";108;"Aber wie zur rohen Antwort auf diese Frage machte jetzt der Prokurist im Nebenzimmer ein paar bestimmte Schritte und ließ seine Lackstiefel knarren.";23
"109";109;"Aus dem Nebenzimmer rechts flüsterte die Schwester, um Gregor zu verständigen: »Gregor, der Prokurist ist da.«";16
"110";110;"»Ich weiß«, sagte Gregor vor sich hin; aber so laut, daß es die Schwester hätte hören können, wagte er die Stimme nicht zu erheben.";24
"111";111;"»Gregor«, sagte nun der Vater aus dem Nebenzimmer links, »der Herr Prokurist ist gekommen und erkundigt sich, warum du nicht mit dem Frühzug weggefahren bist.";25
"112";112;"Wir wissen nicht, was wir ihm sagen sollen.";8
"113";113;"Übrigens will er auch mit dir persönlich sprechen.";8
"114";114;"Also bitte mach die Tür auf.";6
"115";115;"Er wird die Unordnung im Zimmer zu entschuldigen schon die Güte haben.«";12
"116";116;"»Guten Morgen, Herr Samsa«, rief der Prokurist freundlich dazwischen.";9
"117";117;"»Ihm ist nicht wohl«, sagte die Mutter zum Prokuristen, während der Vater noch an der Tür redete, »ihm ist nicht wohl, glauben Sie mir, Herr Prokurist.";26
"118";118;"Wie würde denn Gregor sonst einen Zug versäumen!";8
"119";119;"Der Junge hat ja nichts im Kopf als das Geschäft.";10
"120";120;"Ich ärgere mich schon fast, daß er abends niemals ausgeht; jetzt war er doch acht Tage in der Stadt, aber jeden Abend war er zu Hause.";26
"121";121;"Da sitzt er bei uns am Tisch und liest still die Zeitung oder studiert Fahrpläne.";15
"122";122;"Es ist schon eine Zerstreuung für ihn, wenn er sich mit Laubsägearbeiten beschäftigt.";13
"123";123;"Da hat er zum Beispiel im Laufe von zwei, drei Abenden einen kleinen Rahmen geschnitzt; Sie werden staunen, wie hübsch er ist; er hängt drin im Zimmer; Sie werden ihn gleich sehen, bis Gregor aufmacht.";35
"124";124;"Ich bin übrigens glücklich, daß Sie da sind, Herr Prokurist; wir allein hätten Gregor nicht dazu gebracht, die Tür zu öffnen; er ist so hartnäckig; und bestimmt ist ihm nicht wohl, trotzdem er es am Morgen geleugnet hat.«";38
"125";125;"»Ich komme gleich«, sagte Gregor langsam und bedächtig und rührte sich nicht, um kein Wort der Gespräche zu verlieren.";19
"126";126;"»Anders, gnädige Frau, kann ich es mir auch nicht erklären«, sagte der Prokurist, »hoffentlich ist es nichts Ernstes.";18
"127";127;"Wenn ich auch andererseits sagen muß, daß wir Geschäftsleute – wie man will, leider oder glücklicherweise – ein leichtes Unwohlsein sehr oft aus geschäftlichen Rücksichten einfach überwinden müssen.«";26
"128";128;"»Also kann der Herr Prokurist schon zu dir hinein?«";9
"129";129;"fragte der ungeduldige Vater und klopfte wiederum an die Tür.";10
"130";130;"»Nein«, sagte Gregor.";3
"131";131;"Im Nebenzimmer links trat eine peinliche Stille ein, im Nebenzimmer rechts begann die Schwester zu schluchzen.";16
"132";132;"Warum ging denn die Schwester nicht zu den anderen?";9
