"";"Var1";"Freq"
"1";"groß";582
"2";"gut";573
"3";"klein";445
"4";"ganz";434
"5";"ander";368
"6";"lang";231
"7";"erst";210
"8";"gewiß";202
"9";"natürlich";192
"10";"leicht";191
"11";"wahrscheinlich";176
"12";"weit";176
"13";"schwer";164
"14";"alt";163
"15";"eigentlich";159
"16";"ruhig";152
"17";"hoch";151
"18";"nah";150
"19";"langsam";144
"20";"genau";138
"21";"früh";132
"22";"neu";130
"23";"möglich";129
"24";"gleich";125
"25";"kurz";124
"26";"letzt";122
"27";"richtig";120
"28";"wirklich";120
"29";"vollständig";116
"30";"schön";111
"31";"eigen";107
"32";"stark";105
"33";"einzig";102
"34";"lange";102
"35";"frei";100
"36";"freilich";96
"37";"nötig";93
"38";"spät";93
"39";"jung";91
"40";"still";89
"41";"tief";88
"42";"verschieden";84
"43";"laut";79
"44";"plötzlich";78
"45";"schnell";77
"46";"tatsächlich";77
"47";"früher";76
"48";"offen";75
"49";"völlig";75
"50";"besonder";72
"51";"gering";72
"52";"leer";71
"53";"vorläufig";69
"54";"allgemein";68
"55";"offenbar";68
"56";"voll";68
"57";"schlecht";67
"58";"dunkel";65
"59";"freundlich";65
"60";"einfach";63
"61";"wichtig";61
"62";"einzeln";60
"63";"rasch";60
"64";"aufmerksam";59
"65";"deutlich";59
"66";"fremd";59
"67";"gänzlich";58
"68";"gleichzeitig";58
"69";"klar";55
"70";"schwach";55
"71";"scheinbar";53
"72";"unmöglich";52
"73";"müd";49
"74";"wenig";48
"75";"zweit";48
"76";"niedrig";47
"77";"ähnlich";46
"78";"glücklich";46
"79";"günstig";46
"80";"vorsichtig";46
"81";"allein";45
"82";"bestimmt";44
"83";"gewöhnlich";42
"84";"sicher";42
"85";"schwarz";40
"86";"endlich";39
"87";"eng";39
"88";"flüchtig";38
"89";"gemeinsam";37
"90";"böse";36
"91";"gleichgültig";36
"92";"recht";36
"93";"streng";36
"94";"fertig";35
"95";"weiß";35
"96";"eilig";34
"97";"persönlich";34
"98";"traurig";34
"99";"halb";33
"100";"lächelnd";33
"101";"schlimm";33
"102";"übrig";33
"103";"derartig";32
"104";"unschuldig";32
"105";"bereit";31
"106";"notwendig";31
"107";"schmal";31
"108";"wahr";31
"109";"breit";30
"110";"entfernt";30
"111";"leise";30
"112";"unnötig";30
"113";"augenblicklich";29
"114";"froh";29
"115";"knapp";29
"116";"sagen";29
"117";"genügend";28
"118";"allmählich";27
"119";"stumm";27
"120";"unmittelbar";27
"121";"amerikanisch";26
"122";"geheim";26
"123";"kindlich";26
"124";"schweigend";26
"125";"sonstig";26
"126";"unruhig";26
"127";"zufrieden";26
