"";"Var1";"Freq"
"1";"Hand";546
"2";"Tür";474
"3";"Herr";457
"4";"Mann";455
"5";"Zimmer";397
"6";"Zeit";365
"7";"Frau";297
"8";"K.";283
"9";"Advokat";274
"10";"Vater";254
"11";"Wort";252
"12";"Arbeit";249
"13";"Auge";247
"14";"Haus";228
"15";"Tag";226
"16";"Sache";217
"17";"Onkel";214
"18";"Leute";213
"19";"Kopf";200
"20";"Mutter";199
"21";"Diener";193
"22";"Gesicht";188
"23";"Fenster";174
"24";"Bett";169
"25";"Schloß";162
"26";"Gehilfe";155
"27";"Mädchen";153
"28";"Nacht";151
"29";"Augenblick";150
"30";"Weg";150
"31";"Gang";145
"32";"Prozeß";139
"33";"Klamm";137
"34";"Beamter";130
"35";"Frage";129
"36";"Tisch";129
"37";"Maler";128
"38";"Brief";124
"39";"Blick";123
"40";"Platz";121
"41";"Seite";113
"42";"Grund";112
"43";"Heizer";112
"44";"Schwester";112
"45";"Kind";110
"46";"Mensch";108
"47";"Bau";106
"48";"Schritt";102
"49";"Beispiel";101
"50";"Koffer";101
"51";"Weilchen";101
"52";"Gericht";99
"53";"Ende";96
"54";"Fall";96
"55";"Jahr";95
"56";"Leben";94
"57";"Abend";88
"58";"Art";88
"59";"Meinung";88
"60";"Arm";87
"61";"Geld";87
"62";"Bild";85
"63";"Kapitän";84
"64";"Treppe";84
"65";"Gedanke";83
"66";"Straße";83
"67";"Dienst";82
"68";"Gelegenheit";81
"69";"Kraft";81
"70";"Teil";81
"71";"Name";80
"72";"Wirtin";80
"73";"Ding";79
"74";"Kaufmann";79
"75";"Licht";78
"76";"Richter";78
"77";"Boden";77
"78";"Antwort";76
"79";"Familie";76
"80";"Möglichkeit";76
"81";"Wand";76
"82";"Sessel";74
"83";"Stelle";74
"84";"Bank";72
"85";"Rücken";72
"86";"Oberköchin";70
"87";"Uhr";70
"88";"Eltern";69
"89";"Geschäft";69
"90";"Hoffnung";69
"91";"Stimme";69
"92";"Mund";68
"93";"Stellung";68
"94";"Weise";68
"95";"Gast";67
"96";"Partei";67
"97";"Dorf";66
"98";"Hilfe";65
"99";"Absicht";64
"100";"Erklärung";64
"101";"Junge";64
"102";"Oberkellner";63
"103";"Wächter";63
"104";"Arm|Arme";62
"105";"Freund";62
"106";"Geistliche";62
"107";"Nähe";62
"108";"Anblick";61
"109";"Bewegung";61
"110";"Wohnung";61
"111";"Hotel";60
"112";"Kerze";60
"113";"Schiff";60
"114";"Student";60
"115";"Kleid";59
"116";"Oberportier";59
"117";"Angeklagter";58
"118";"Gespräch";58
"119";"Ruhe";58
"120";"Türhut";58
"121";"Direktor";57
"122";"Essen";57
"123";"Schlaf";57
"124";"Gefahr";56
"125";"Höhe";56
"126";"Finger";55
"127";"Vorsteher";55
"128";"Besuch";54
"129";"Ferne";54
"130";"Landvermesser";54
"131";"Luft";54
"132";"Auftrag";53
"133";"Geräusch";53
"134";"Wirt";53
"135";"Angelegenheit";52
"136";"gewiß";52
"137";"Kanzlei";52
"138";"Lehrer";52
"139";"Verhältnis";52
"140";"Kanapee";51
"141";"Sinn";51
"142";"Verbindung";51
"143";"Bein";50
"144";"Neffe";50
"145";"Rede";50
"146";"Rock";50
"147";"Untersuchungsrichter";49
"148";"Freude";48
"149";"Photographie";48
"150";"Brust";47
"151";"Fuß";47
"152";"Gasse";47
"153";"Lärm";47
"154";"Schulter";47
"155";"Decke";46
"156";"Fahrt";46
"157";"Haar";46
"158";"Morgen";46
"159";"Papier";46
"160";"Rede|Reden";46
"161";"Stunde|Stunden";46
"162";"Welt";46
"163";"Balkon";45
"164";"Buch";45
"165";"Fabrikant";45
"166";"Richtung";45
"167";"Schuld";45
"168";"Eingang";44
"169";"Plan";44
"170";"Posten";44
"171";"Rücksicht";44
"172";"Sekretär";44
"173";"Angst";43
"174";"Automobil";43
"175";"Prokurist";43
"176";"Stellvertreter";43
"177";"Aufseher";42
"178";"Büro";42
"179";"Herrenhof";42
"180";"Pflicht";41
"181";"Vorzimmer";41
"182";"Wille";41
"183";"Behörde";40
"184";"Burgplatz";40
"185";"Eindruck";40
"186";"Fehler";40
"187";"Körper";40
"188";"Liftjung";40
"189";"Ohr";40
"190";"Polizeimann";40
"191";"Raum";40
"192";"still";40
"193";"Wirklichkeit";40
"194";"Zeichen";40
"195";"Befehl";39
"196";"Hinsicht";39
"197";"Vorteil";39
"198";"Wagen";39
"199";"Bemerkung";38
"200";"Bote";38
"201";"Gesetz";38
"202";"Küche";38
"203";"Schubal";38
"204";"Sorge|Sorgen";38
"205";"Ausschank";37
"206";"Benehmen";37
"207";"Erfahrung";37
"208";"Gerichtsdiener";37
"209";"Mühe";37
"210";"Reihe";37
"211";"Schreibtisch";37
"212";"There";37
"213";"Bedeutung";36
"214";"Bitte";36
"215";"jung";36
"216";"Lage";36
"217";"Menge";36
"218";"Ort";36
"219";"Senator";36
"220";"Verteidigung";36
"221";"Anstrengung";35
"222";"Erde";35
"223";"Erfolg";35
"224";"Ganze";35
"225";"Tier";35
"226";"Wange";35
"227";"Zweck";35
"228";"Anfang";34
"229";"Delamarche";34
"230";"Gelände";34
"231";"Glück";34
"232";"Nachricht";34
"233";"Stirn";34
"234";"Zustand";34
"235";"Eingabe";33
"236";"Erzählung";33
"237";"Gefühl";33
"238";"Lippe";33
"239";"Ordnung";33
"240";"Recht";33
"241";"Schlitten";33
"242";"Zweifel";33
"243";"Erinnerung";32
"244";"Erlaubnis";32
"245";"gut";32
"246";"Schlüssel";32
"247";"Spiel";32
"248";"Stunde";32
"249";"Geschichte";31
"250";"Hals";31
"251";"Lauf";31
"252";"Nebenzimmer";31
"253";"Saal";31
"254";"Stück";31
"255";"Folge";30
"256";"Hof";30
"257";"Schmerz";30
"258";"Schnee";30
"259";"Stadt";30
"260";"Ton";30
"261";"Verfahren";30
"262";"Vergnügen";30
"263";"Vorstellung";30
"264";"Wunsch";30
"265";"Aufregung";29
"266";"Ausgang";29
"267";"Ecke";29
"268";"Frühstück";29
