"";"Var1";"Freq"
"1";"sagen";2499
"2";"haben";1369
"3";"sehen";899
"4";"kommen";700
"5";"gehen";640
"6";"machen";575
"7";"lassen";502
"8";"geben";438
"9";"stehen";407
"10";"scheinen";380
"11";"sein";336
"12";"fragen";332
"13";"halten";303
"14";"bleiben";295
"15";"glauben";292
"16";"nehmen";289
"17";"tun";284
"18";"rufen";273
"19";"hören";269
"20";"wissen";268
"21";"denken";240
"22";"finden";239
"23";"liegen";238
"24";"sprechen";233
"25";"werden";220
"26";"zeigen";209
"27";"fragt";195
"28";"bringen";194
"29";"suchen";192
"30";"bekommen";179
"31";"warten";178
"32";"geschehen";175
"33";"ziehen";169
"34";"sitzen";158
"35";"setzen";153
"36";"führen";152
"37";"verstehen";142
"38";"kennen";141
"39";"treten";139
"40";"antworten";138
"41";"öffnen";136
"42";"erkennen";132
"43";"beginnen";130
"44";"wollen";129
"45";"gehören";127
"46";"schlafen";127
"47";"legen";125
"48";"laufen";123
"49";"fahren";119
"50";"stellen";116
"51";"verlassen";112
"52";"brauchen";111
"53";"helfen";110
"54";"erzählen";108
"55";"erfahren";106
"56";"wußen";105
"57";"tragen";104
"58";"bemerken";103
"59";"verlieren";100
"60";"erwarten";99
"61";"fühlen";98
"62";"schließen";97
"63";"wenden";96
"64";"schlagen";91
"65";"stören";91
"66";"vergessen";89
"67";"merken";86
"68";"holen";85
"69";"erinnern";83
"70";"aufnehmen";82
"71";"erscheinen";82
"72";"drücken";81
"73";"drehen";80
"74";"bestehen";78
"75";"versuchen";78
"76";"werfen";78
"77";"erheben";77
"78";"erklären";75
"79";"fallen";75
"80";"erreichen";74
"81";"folgen";72
"82";"bitten";71
"83";"handeln";70
"84";"reden";70
"85";"dennen";69
"86";"lachen";69
"87";"arbeiten";66
"88";"heißen";66
"89";"kümmern";66
"90";"gelingen";65
"91";"nennen";65
"92";"reichen";65
"93";"wiederholen";65
"94";"verlangen";64
"95";"klopfen";63
"96";"ansehen";62
"97";"beobachten";62
"98";"nicken";61
"99";"strecken";61
"100";"annehmen";60
"101";"heben";60
"102";"spielen";58
"103";"faßen";57
"104";"drängen";55
"105";"stoßen";55
"106";"erhalten";52
"107";"schreiben";52
"108";"lesen";51
"109";"fügen";50
"110";"hängen";50
"111";"schicken";50
"112";"bestimmen";49
"113";"anziehen";47
"114";"bedeuten";46
"115";"schütteln";46
"116";"lehnen";45
"117";"ausführen";44
"118";"fürchen";44
"119";"beschäftigen";43
"120";"entlassen";43
"121";"schieben";43
"122";"blicken";42
"123";"befinden";41
"124";"pflegen";41
"125";"rühren";41
"126";"beruhigen";40
"127";"zwingen";40
"128";"beugen";39
"129";"horchen";39
"130";"melden";39
"131";"verhalten";39
"132";"behalten";38
"133";"betreffen";38
"134";"weggehen";38
"135";"eintreten";37
"136";"flüsteren";37
"137";"steigen";37
"138";"treiben";37
"139";"wohnen";37
"140";"hoffen";36
"141";"leben";36
"142";"mußen";36
"143";"müßen";36
"144";"wagen";36
"145";"dulden";35
"146";"fehlen";35
"147";"gewinnen";35
"148";"schweigen";35
"149";"wundern";35
"150";"fürchten";34
"151";"lieben";34
"152";"mögen";34
"153";"springen";34
"154";"danken";33
"155";"eilen";33
"156";"erlauben";33
"157";"fangen";33
"158";"nähern";33
"159";"zurückkehren";33
"160";"anfangen";32
"161";"behandeln";32
"162";"lächeln";32
"163";"staunen";32
"164";"täuschen";32
"165";"treffen";32
"166";"verfolgen";32
"167";"vorstellen";32
"168";"dauern";31
"169";"ertragen";31
"170";"freuen";31
"171";"gelten";31
"172";"unterhalten";31
"173";"bewegen";30
"174";"klagen";30
"175";"leisten";30
"176";"nügen";30
"177";"reißen";30
"178";"verbringen";30
"179";"wecken";30
"180";"weißen|wissen";30
"181";"ändern";29
"182";"besprechen";29
"183";"gefallen";29
"184";"schienen";29
"185";"wählen";29
"186";"aussprechen";28
"187";"begreifen";28
"188";"beweisen";28
"189";"dessen";28
"190";"entschuldigen";28
"191";"erfüllen";28
"192";"ergreifen";28
"193";"erwähnen";28
"194";"feststellen";28
"195";"fassen";27
"196";"hindern";27
"197";"kehren";27
"198";"meinen";27
"199";"studieren";27
"200";"entscheiden";26
"201";"lernen";26
"202";"richten";26
"203";"stützen";26
"204";"überraschen";26
"205";"unterbrechen";26
"206";"wissermaßen";26
"207";"wünschen";26
"208";"bließen";25
"209";"denken|gedenken";25
"210";"empfangen";25
"211";"essen";25
"212";"grüßen";25
"213";"niemehen";25
"214";"tuen";25
"215";"verdienen";25
"216";"verschwinden";25
"217";"wagt";25
"218";"deuten";24
"219";"dienen";24
"220";"festhalten";24
"221";"genügen";24
"222";"vermeiden";24
"223";"versäumen";24
"224";"verwenden";24
"225";"aufstehen";23
"226";"entfernen";23
"227";"erschrecken";23
"228";"jetzen";23
"229";"schauen";23
"230";"senken";23
"231";"stecken";23
"232";"vielleechen";23
"233";"winken";23
"234";"beeinflussen";22
"235";"greifen";22
"236";"läuten";22
"237";"mitnehmen";22
"238";"mochen";22
"239";"rücken";22
"240";"verraten";22
"241";"aufstellen";21
"242";"drohen";21
"243";"erledigen";21
"244";"fallen|gefallen";21
"245";"mitteilen";21
"246";"überlassen";21
"247";"verabschieden";21
"248";"verschaffen";21
"249";"versprechen";21
"250";"wehren";21
"251";"achten";20
"252";"befreien";20
"253";"brechen";20
"254";"entziehen";20
"255";"neigen";20
"256";"ordnen";20
"257";"schaffen";20
"258";"trinken";20
"259";"überzeugen";20
"260";"unterscheiden";20
"261";"verursachen";20
"262";"zurückkommen";20
"263";"ankommen";19
"264";"besitzen";19
"265";"bezahlen";19
"266";"leiden";19
"267";"ruhen";19
"268";"verstummen";19
"269";"verzichten";19
