"";"x"
"1";"K."
"2";"Onkel"
"3";"Diener"
"4";"Schloß"
"5";"Gehilfe"
"6";"Prozeß"
"7";"Klamm"
"8";"Beamter"
"9";"Maler"
"10";"Heizer"
"11";"Schwester"
"12";"Bau"
"13";"Beispiel"
"14";"Koffer"
"15";"Weilchen"
"16";"Gericht"
"17";"Kapitän"
"18";"Gelegenheit"
"19";"Wirtin"
"20";"Kaufmann"
"21";"Richter"
"22";"Möglichkeit"
"23";"Sessel"
"24";"Oberköchin"
"25";"Eltern"
"26";"Hoffnung"
"27";"Stellung"
"28";"Partei"
"29";"Hilfe"
"30";"Absicht"
"31";"Erklärung"
"32";"Junge"
"33";"Oberkellner"
"34";"Wächter"
"35";"Geistliche"
"36";"Wohnung"
"37";"Hotel"
"38";"Kerze"
"39";"Student"
"40";"Kleid"
"41";"Oberportier"
"42";"Türhut"
"43";"Direktor"
"44";"Essen"
"45";"Schlaf"
"46";"Gefahr"
"47";"Vorsteher"
"48";"Besuch"
"49";"Ferne"
"50";"Landvermesser"
"51";"Auftrag"
"52";"Geräusch"
"53";"Wirt"
"54";"Angelegenheit"
"55";"gewiß"
"56";"Kanzlei"
"57";"Lehrer"
"58";"Verhältnis"
"59";"Kanapee"
"60";"Verbindung"
"61";"Neffe"
"62";"Rede"
"63";"Rock"
"64";"Untersuchungsrichter"
"65";"Photographie"
"66";"Gasse"
"67";"Lärm"
"68";"Decke"
"69";"Fahrt"
"70";"Papier"
"71";"Rede|Reden"
"72";"Balkon"
"73";"Fabrikant"
"74";"Richtung"
"75";"Schuld"
"76";"Eingang"
"77";"Plan"
"78";"Posten"
"79";"Rücksicht"
"80";"Sekretär"
"81";"Automobil"
"82";"Prokurist"
"83";"Stellvertreter"
"84";"Aufseher"
"85";"Büro"
"86";"Herrenhof"
"87";"Pflicht"
"88";"Vorzimmer"
"89";"Wille"
"90";"Behörde"
"91";"Burgplatz"
"92";"Fehler"
"93";"Liftjung"
"94";"Polizeimann"
"95";"still"
"96";"Wirklichkeit"
"97";"Zeichen"
"98";"Befehl"
"99";"Hinsicht"
"100";"Vorteil"
"101";"Bemerkung"
"102";"Bote"
