"";"Var1";"Freq"
"1";"gut";1197
"2";"groß";1121
"3";"ganz";1045
"4";"klein";952
"5";"alt";923
"6";"schön";711
"7";"jung";679
"8";"ander";626
"9";"hoch";536
"10";"lang";511
"11";"neu";468
"12";"weit";442
"13";"plötzlich";423
"14";"erst";380
"15";"tief";373
"16";"weiß";360
"17";"stark";350
"18";"nah";338
"19";"gewiß";329
"20";"schwarz";329
"21";"letzt";322
"22";"eigen";303
"23";"voll";297
"24";"rasch";290
"25";"leicht";283
"26";"still";273
"27";"schwer";262
"28";"ruhig";257
"29";"einzig";253
"30";"langsam";253
"31";"kurz";252
"32";"lange";232
"33";"dunkel";219
"34";"spät";217
"35";"früh";202
"36";"eigentlich";200
"37";"gleich";191
"38";"rot";191
"39";"schlecht";186
"40";"breit";179
"41";"laut";170
"42";"offen";165
"43";"möglich";160
"44";"hell";158
"45";"glücklich";155
"46";"natürlich";154
"47";"frei";152
"48";"sicher";151
"49";"wirklich";151
"50";"heftig";149
"51";"blau";140
"52";"arm";138
"53";"grün";137
"54";"heiß";132
"55";"einfach";130
"56";"fein";130
"57";"fremd";129
"58";"braun";128
"59";"kalt";125
"60";"lieb";125
"61";"zweit";122
"62";"leer";120
"63";"grau";119
"64";"dicht";117
"65";"gelb";117
"66";"eng";116
"67";"heilig";115
"68";"freundlich";113
"69";"klar";112
"70";"wahr";112
"71";"allein";111
"72";"böse";107
"73";"nötig";107
"74";"süß";107
"75";"furchtbar";106
"76";"tot";103
"77";"mächtig";102
"78";"deutlich";101
"79";"seltsam";101
"80";"weich";101
"81";"traurig";100
"82";"lebendig";98
"83";"endlich";96
"84";"genau";95
"85";"reich";95
"86";"freilich";94
"87";"menschlich";94
"88";"schrecklich";94
"89";"ungeheuer";94
"90";"halb";93
"91";"streng";93
"92";"gefährlich";92
"93";"schwach";90
"94";"warm";90
"95";"ähnlich";88
"96";"fest";86
"97";"leise";86
"98";"rein";85
"99";"schmal";85
"100";"zart";84
"101";"ewig";83
"102";"schnell";83
"103";"bunt";82
"104";"früher";82
"105";"recht";82
"106";"sonderbar";82
"107";"inner";80
"108";"dick";79
"109";"fertig";79
"110";"stumm";78
"111";"wichtig";77
"112";"einzeln";76
"113";"gering";75
"114";"gewaltig";75
"115";"wild";75
"116";"allgemein";74
"117";"allmählich";74
"118";"lustig";74
"119";"nackt";74
"120";"bereit";73
"121";"völlig";73
"122";"richtig";72
"123";"besonder";71
"124";"hübsch";71
"125";"dumm";70
"126";"öffentlich";70
"127";"scharf";70
"128";"unmöglich";70
"129";"feucht";68
"130";"deutsch";67
"131";"hart";67
"132";"lachend";67
"133";"fern";66
"134";"heimlich";66
"135";"dünn";65
"136";"gesund";65
"137";"sichtbar";65
"138";"weiter";65
"139";"wahrscheinlich";64
"140";"westlich";64
"141";"göttlich";63
"142";"wissen";63
"143";"zufrieden";63
"144";"berühmt";62
"145";"golden";62
"146";"herrlich";62
"147";"selten";62
"148";"täglich";62
"149";"übrig";62
"150";"unsichtbar";62
"151";"finster";61
"152";"dritt";60
"153";"frisch";60
"154";"ängstlich";58
"155";"lächelnd";58
"156";"stolz";58
"157";"wenig";58
"158";"arme";57
"159";"italienisch";57
"160";"merkwürdig";57
"161";"scheinbar";57
"162";"bleich";56
"163";"glänzend";56
"164";"gleichgültig";56
"165";"häßlich";56
"166";"verschieden";56
"167";"einsam";55
"168";"erstaunt";55
"169";"gewöhnlich";55
"170";"griechisch";55
"171";"niedrig";55
"172";"unbekannt";55
"173";"angenehm";54
"174";"bekannt";53
"175";"flüchtig";53
"176";"folgend";53
"177";"lieblich";53
"178";"eigentümlich";52
"179";"gestern";52
"180";"sanft";52
"181";"heiter";50
"182";"unruhig";50
"183";"vorsichtig";50
"184";"offenbar";49
"185";"riesig";49
"186";"zärtlich";49
"187";"äußer";48
"188";"froh";48
"189";"hastig";48
"190";"kostbar";48
"191";"mein";48
"192";"bescheiden";47
"193";"blaß";46
"194";"falsch";46
"195";"feierlich";46
"196";"link";46
"197";"persönlich";46
"198";"schlank";46
"199";"steil";46
"200";"vergeblich";46
"201";"wert";46
"202";"zitternd";46
"203";"bedeutend";45
"204";"bekennen";45
"205";"entfernt";45
"206";"ernst";45
"207";"wiß";45
"208";"zornig";45
"209";"blind";44
"210";"eisern";44
"211";"krank";44
"212";"müd";44
"213";"stürmisch";44
"214";"unschuldig";44
"215";"wütend";44
"216";"glühend";43
"217";"köstlich";43
"218";"österreichisch";43
"219";"schlimm";43
"220";"schri";43
"221";"schweigend";43
"222";"unwillkürlich";43
"223";"vollkommen";43
"224";"bestimmt";42
"225";"edl";42
"226";"ern";42
"227";"fröhlich";42
"228";"geheim";42
"229";"grausam";42
"230";"gütig";42
"231";"manches";42
"232";"schuldig";42
"233";"unser";42
"234";"höflich";41
"235";"lächerlich";41
"236";"weiblich";41
"237";"bloß";40
"238";"brennend";40
"239";"glatt";40
"240";"himmlisch";40
"241";"irgend";40
"242";"politisch";40
"243";"silbern";40
"244";"blond";39
"245";"drohend";39
"246";"eilig";39
"247";"hilflos";39
"248";"lautlos";39
"249";"lebend";39
"250";"reizend";39
"251";"selig";39
"252";"flach";38
"253";"kahl";38
"254";"mager";38
"255";"neugierig";38
"256";"rund";38
"257";"trocken";38
"258";"üppig";38
"259";"wilde";38
"260";"anständig";37
"261";"aufmerksam";37
"262";"geheimnisvoll";37
"263";"ehrlich";36
"264";"elend";36
"265";"gelegentlich";36
"266";"gnädig";36
"267";"künstlich";36
"268";"leis";36
"269";"nett";36
"270";"notwendig";36
"271";"schmutzig";36
"272";"südlich";36
"273";"tüchtig";36
"274";"tun";36
"275";"übel";36
"276";"verächtlich";36
"277";"zierlich";36
"278";"geschlossen";35
"279";"gleichzeitig";35
"280";"gutmütig";35
"281";"kommen";35
"282";"nämlich";35
"283";"naß";35
"284";"sogenannt";35
"285";"tatsächlich";35
"286";"unendlich";35
"287";"vernünftig";35
"288";"bitter";34
"289";"brav";34
"290";"technisch";34
"291";"treu";34
"292";"ärgerlich";33
"293";"bürgerlich";33
"294";"dankbar";33
"295";"gemeinsam";33
"296";"grob";33
"297";"liebenswürdig";33
"298";"spöttisch";33
"299";"strich";33
"300";"verdächtig";33
"301";"zuweilen";33
"302";"bequem";32
"303";"beständig";32
"304";"du";32
"305";"düster";32
"306";"elegant";32
"307";"fürchterlich";32
"308";"gänzlich";32
"309";"innerlich";32
"310";"kindlich";32
"311";"phantastisch";32
