"";"Var1";"Freq"
"1";"Frau";1855
"2";"Mann";1417
"3";"Hand";1273
"4";"Mensch";1192
"5";"Auge";1175
"6";"Haus";885
"7";"Herr";868
"8";"Gesicht";770
"9";"Tag";765
"10";"Kind";738
"11";"Zeit";697
"12";"Kopf";666
"13";"Advokat";663
"14";"Wort";576
"15";"Leben";573
"16";"Stadt";562
"17";"Jahr";543
"18";"Blick";473
"19";"Gott";445
"20";"Welt";423
"21";"Mutter";419
"22";"Vater";414
"23";"Stimme";404
"24";"Augenblick";375
"25";"Nacht";373
"26";"Leute";368
"27";"Weg";358
"28";"Freund";354
"29";"Tür";352
"30";"Art";333
"31";"Arm|Arme";330
"32";"Gedanke";329
"33";"Fenster";325
"34";"Schritt";324
"35";"Volk";323
"36";"Arm";318
"37";"Herz";313
"38";"Mund";311
"39";"Platz";311
"40";"Ding";302
"41";"Boden";301
"42";"Luft";299
"43";"Mädchen";289
"44";"Straße";287
"45";"Zimmer";286
"46";"Land";280
"47";"ander";278
"48";"Fuß";278
"49";"Seite";275
"50";"Schulter";266
"51";"Tisch";262
"52";"Abend";251
"53";"Brust";248
"54";"Geld";241
"55";"Weib";240
"56";"Himmel";239
"57";"Gefühl";238
"58";"Liebe";230
"59";"Kraft";229
"60";"Garten";228
"61";"Seele";228
"62";"Lippe";225
"63";"Priester";221
"64";"Erde";216
"65";"Sache";214
"66";"Sinn";214
"67";"Licht";211
"68";"Angst";208
"69";"Bild";206
"70";"Name";206
"71";"Haar";205
"72";"Tobler";202
"73";"Wasser";199
"74";"Ende";197
"75";"Finger";197
"76";"Baum";196
"77";"Grund";196
"78";"Dame";195
"79";"Stirn";187
"80";"Wagen";183
"81";"Sonne";182
"82";"Brief";181
"83";"Ton";180
"84";"Uhr";179
"85";"Bewegung";175
"86";"Geist";171
"87";"Wesen";171
"88";"Tier";170
"89";"Hals";166
"90";"Frage";163
"91";"Tochter";163
"92";"Blut";160
"93";"Traum";159
"94";"Weise";159
"95";"Geschichte";158
"96";"Bett";157
"97";"Bruder";157
"98";"Lächeln";157
"99";"Stück";153
"100";"Stunde";152
"101";"Baronin";147
"102";"Sohn";147
"103";"Baron";146
"104";"Glück";143
"105";"Körper";143
"106";"Mal";143
"107";"Tod";143
"108";"Schatten";142
"109";"Kirche";141
"110";"Freude";140
"111";"Buch";139
"112";"Vorsitzende";139
"113";"Arbeit";138
"114";"Raum";138
"115";"Meer";137
"116";"Zeunemann";136
"117";"Cavalier";135
"118";"Zug";135
"119";"Familie";133
"120";"Minute";133
"121";"Person";132
"122";"Stelle";131
"123";"gut";130
"124";"Natur";130
"125";"Treppe";129
"126";"Macht";128
"127";"Menge";127
"128";"Schiff";127
