"";"Var1";"Freq"
"1";"sagen";3119
"2";"haben";3045
"3";"sehen";2135
"4";"kommen";1749
"5";"gehen";1630
"6";"machen";1419
"7";"lassen";1343
"8";"stehen";1271
"9";"geben";1130
"10";"wissen";866
"11";"halten";808
"12";"sein";806
"13";"scheinen";771
"14";"liegen";745
"15";"tun";736
"16";"nehmen";731
"17";"denken";726
"18";"bleiben";705
"19";"rufen";607
"20";"werden";582
"21";"fühlen";580
"22";"glauben";564
"23";"hören";560
"24";"sprechen";553
"25";"treten";537
"26";"sitzen";533
"27";"finden";521
"28";"fragen";499
"29";"setzen";463
"30";"ziehen";436
"31";"bringen";413
"32";"werfen";407
"33";"beginnen";387
"34";"fahren";385
"35";"tragen";376
"36";"schlagen";368
"37";"lachen";349
"38";"legen";343
"39";"lieben";342
"40";"zeigen";330
"41";"fallen";328
"42";"führen";312
"43";"geschehen";312
"44";"laufen";310
"45";"stellen";305
"46";"kennen";302
"47";"leben";296
"48";"wußen";293
"49";"verstehen";289
"50";"gehören";288
"51";"suchen";285
"52";"erscheinen";284
"53";"wollen";284
"54";"steigen";244
"55";"verlassen";241
"56";"schreiben";237
"57";"brauchen";236
"58";"erheben";234
"59";"wenden";233
"60";"warten";232
"61";"erzählen";229
"62";"bemerken";224
"63";"heißen";224
"64";"stoßen";224
"65";"singen";217
"66";"lächeln";214
"67";"spielen";212
"68";"sterben";211
"69";"bekommen";202
"70";"schließen";202
"71";"treiben";198
"72";"verlieren";194
"73";"erkennen";193
"74";"erklären";186
"75";"bewegen";185
"76";"brechen";180
"77";"vergessen";180
"78";"hängen";176
"79";"antworten";173
"80";"drücken";170
"81";"erinnern";170
"82";"nennen";170
"83";"stürzen";168
"84";"öffnen";166
"85";"heben";160
"86";"blicken";158
"87";"meinen";158
"88";"reden";155
"89";"bitten";152
"90";"greifen";152
"91";"springen";152
"92";"merken";151
"93";"folgen";150
"94";"richten";150
"95";"schicken";148
"96";"schlafen";144
"97";"fliehen";143
"98";"versuchen";142
"99";"betrachten";141
"100";"erwarten";140
"101";"reißen";140
"102";"empfinden";138
"103";"schütteln";132
"104";"helfen";130
"105";"erwideren";127
"106";"fangen";127
"107";"schauen";124
"108";"schweigen";124
"109";"drängen";123
"110";"treffen";123
"111";"dennen";122
"112";"fragt";122
"113";"verschwinden";119
"114";"arbeiten";118
"115";"handeln";118
"116";"wagen";118
"117";"trinken";114
"118";"holen";113
"119";"verlangen";113
"120";"lernen";112
"121";"senken";111
"122";"sinken";111
"123";"drehen";110
"124";"weinen";110
"125";"stecken";107
"126";"erfahren";106
"127";"erfüllen";106
"128";"befinden";104
"129";"pflegen";104
"130";"wiederholen";104
"131";"wünschen";104
"132";"brennen";102
"133";"schienen";102
"134";"zucken";101
"135";"bestehen";99
"136";"wohnen";98
"137";"zitteren";98
"138";"schaffen";97
"139";"wachsen";97
"140";"ergreifen";96
"141";"hoffen";94
"142";"ansehen";93
"143";"essen";93
"144";"mögen";93
"145";"strecken";93
"146";"begegnen";92
"147";"spüren";92
"148";"flüsteren";91
"149";"nicken";90
"150";"fürchten";89
"151";"begreifen";88
"152";"erhalten";87
"153";"rühren";87
"154";"bilden";86
"155";"schieben";86
"156";"besitzen";85
"157";"erreichen";85
"158";"genießen";85
"159";"gewinnen";85
"160";"töten";85
"161";"annehmen";84
"162";"fassen";81
"163";"fehlen";81
"164";"gelten";81
"165";"weißen|wissen";81
"166";"zwingen";81
"167";"lesen";80
"168";"träumen";80
"169";"atmen";78
"170";"lehnen";78
"171";"lösen";78
"172";"reichen";78
"173";"schreiten";78
"174";"erregen";77
"175";"retten";77
"176";"berühren";76
"177";"bieten";76
"178";"erlauben";76
"179";"kehren";75
"180";"neigen";75
"181";"bedeuten";74
"182";"dringen";74
"183";"erleben";73
"184";"gelingen";73
"185";"müßen";73
"186";"mochen";72
"187";"begleiten";71
"188";"danken";71
"189";"fordern";71
"190";"küßen";71
"191";"begeben";69
"192";"empfangen";69
"193";"dessen";68
"194";"versprechen";68
"195";"wirken";68
"196";"bauen";67
"197";"behaupten";67
"198";"fallen|gefallen";67
"199";"heiraten";67
"200";"freuen";66
"201";"klopfen";66
"202";"verdienen";66
"203";"kämpfen";65
"204";"weisen";65
"205";"wussen";65
"206";"bezahlen";64
"207";"erblicken";64
"208";"murmeln";64
"209";"beweisen";63
"210";"erwachen";63
"211";"grüßen";63
"212";"schenken";63
"213";"vernehmen";63
"214";"betreten";62
"215";"eilen";62
"216";"gelangen";62
"217";"horchen";62
"218";"klatschen";62
"219";"schweben";62
"220";"verraten";62
"221";"entstehen";61
"222";"vermochte";61
"223";"beugen";60
"224";"hieben";60
"225";"ruhen";60
"226";"fallen|fällen";59
"227";"genagen";59
"228";"zurückkehren";59
"229";"besuchen";58
"230";"tauchen";58
"231";"klingen";57
"232";"winken";57
"233";"dienen";56
"234";"fließen";56
"235";"aufstehen";55
"236";"trennen";55
"237";"begrüßen";54
"238";"beschäftigen";54
"239";"drohen";54
"240";"entschuldigen";54
"241";"gebären";54
"242";"kosten";54
"243";"leiden";54
"244";"starren";54
"245";"vorstellen";54
"246";"behalten";53
"247";"jetzen";53
"248";"verfolgen";53
"249";"äußern";52
"250";"beobachten";52
"251";"faßen";52
"252";"stöhnen";52
"253";"biegen";51
"254";"fliegen";51
"255";"gefallen";51
"256";"kaufen";51
"257";"nähern";51
"258";"reizen";51
"259";"seufzen";51
"260";"stören";51
"261";"begehen";50
"262";"behandeln";50
"263";"entfernen";50
"264";"glänzen";50
"265";"leisten";50
"266";"rauchen";50
"267";"aussehen";49
"268";"beruhigen";49
"269";"denken|gedenken";49
"270";"füllen";49
"271";"jagen";49
"272";"wundern";49
"273";"enthalten";48
"274";"fürchen";48
"275";"sanfen";48
"276";"schneiden";48
"277";"stimmen";48
"278";"anfangen";47
"279";"blitzen";47
"280";"rücken";47
"281";"versetzen";47
"282";"verstecken";47
"283";"kalt";46
"284";"schießen";46
"285";"andern";45
"286";"ankommen";45
"287";"bewahren";45
"288";"bisen";45
"289";"entdecken";45
"290";"ertragen";45
"291";"krinken";45
"292";"schämen";45
"293";"teilen";45
"294";"umgeben";45
"295";"zuweilen";45
"296";"beten";44
"297";"dauern";44
"298";"herrschen";44
"299";"packen";44
"300";"brüllen";43
"301";"entgegnen";43
"302";"unterbrechen";43
"303";"ahnen";42
"304";"beschließen";42
"305";"betreffen";42
"306";"binden";42
"307";"geraten";42
"308";"hingen";42
"309";"kümmern";42
"310";"reisen";42
"311";"tuen";42
"312";"unterhalten";42
"313";"wählen";42
"314";"irren";41
"315";"schreien";41
"316";"schwanken";41
"317";"spazieren";41
"318";"verändern";41
"319";"zerstören";41
"320";"empören";40
"321";"erweisen";40
"322";"erzähln";40
"323";"fügen";40
"324";"gestehen";40
"325";"leiben";40
"326";"siegen";40
"327";"verbringen";40
"328";"zählen";40
"329";"aufnehmen";39
"330";"bereiten";39
"331";"bestimmen";39
"332";"hassen";39
"333";"mußen";39
"334";"reiben";39
"335";"schleppen";39
"336";"tanzen";39
"337";"umarmen";39
"338";"verbinden";39
"339";"darstellen";38
"340";"kreischen";38
"341";"regen";38
"342";"rollen";38
"343";"schwingen";38
"344";"streifen";38
"345";"verziehen";38
"346";"wiegen";38
"347";"ändern";37
"348";"bedienen";37
"349";"berichten";37
"350";"deuten";37
"351";"festhalten";37
"352";"ringen";37
"353";"stammeln";37
"354";"stützen";37
"355";"vermeiden";37
"356";"bedecken";36
"357";"bestellen";36
"358";"lauschen";36
"359";"mitnehmen";36
"360";"sammeln";36
"361";"streicheln";36
"362";"tönen";36
"363";"üben";36
"364";"unterscheiden";36
"365";"weichen";36
"366";"keuchen";35
"367";"leiten";35
"368";"preßen";35
"369";"verbergen";35
"370";"verhindern";35
"371";"verkaufen";35
"372";"vernichten";35
"373";"wecken";35
"374";"bewußen";34
"375";"bließen";34
"376";"eintreten";34
"377";"leuchten";34
"378";"niemehen";34
"379";"nützen";34
"380";"soeben";34
"381";"steigern";34
"382";"auflösen";33
"383";"bemühen";33
"384";"besinnen";33
"385";"ergeben";33
"386";"ersticken";33
"387";"gesagen";33
"388";"locken";33
"389";"quälen";33
"390";"tasten";33
"391";"überzeugen";33
"392";"versichern";33
"393";"wandern";33
"394";"zahlen";33
"395";"zögeren";33
"396";"achten";32
"397";"anziehen";32
"398";"aussprechen";32
"399";"dehnen";32
"400";"dulden";32
"401";"dürfen";32
"402";"enden";32
"403";"läuten";32
"404";"rauschen";32
"405";"rechnen";32
"406";"strömen";32
"407";"verschaffen";32
"408";"verwandeln";32
"409";"zeihen|ziehen";32
"410";"entschlossen";31
"411";"erröten";31
"412";"hindern";31
"413";"küssen";31
"414";"lehren";31
"415";"nachen";31
"416";"rechen";31
"417";"schluchzen";31
"418";"siehen";31
"419";"verbieten";31
"420";"verbrennen";31
"421";"verfallen";31
"422";"vorkommen";31
"423";"warnen";31
"424";"wechseln";31
"425";"wehren";31
"426";"wöhnen";31
"427";"entziehen";30
"428";"mitteilen";30
"429";"müssen";30
"430";"passen";30
"431";"verlegen";30
"432";"abnehmen";29
"433";"bewohnen";29
"434";"erschrecken";29
"435";"malen";29
"436";"melden";29
"437";"mischen";29
"438";"spannen";29
"439";"stocken";29
"440";"umbringen";29
"441";"verstummen";29
"442";"wälzen";29
"443";"zurückziehen";29
"444";"bezeichnen";28
